kd_prov,Provinsi,Anggaran Belanja Modal,Realisasi Belanja Modal
11,Aceh,8398.09,6395.57
12,Sumatera Utara,10274.83,7117.9
13,Sumatera Barat,5715.49,3519.43
14,Riau,6665.3,4459.02
15,Jambi,5080.89,3251.13
16,Sumatera Selatan,9282.4,8710.39
17,Bengkulu,2744.2,1902.41
18,Lampung,5221.99,3513
19,Kepulauan Bangka Belitung,1537.07,1382.12
21,Kepulauan Riau,3122.87,1843.84
31,DKI Jakarta,18041.25,3173.22
32,Jawa Barat,19232.05,14070.13
33,Jawa Tengah,15624.36,9914.82
34,D.I. Yogyakarta,3228.11,2289.87
35,Jawa Timur,22705.26,14474.64
36,Banten,7366.82,4278.88
51,Bali,4771.65,2157.82
52,Nusa Tenggara Barat,4060.74,2755.42
53,Nusa Tenggara Timur,6216.77,4298.75
61,Kalimantan Barat,5133.77,3990.55
62,Kalimantan Tengah,5924,3941.06
63,Kalimantan Selatan,5277.67,4126.63
64,Kalimantan Timur,9563.69,7477.51
65,Kalimantan Utara,1695.63,1648.03
71,Sulawesi Utara,3677.17,2899.7
72,Sulawesi Tengah,4126.89,3265.28
73,Sulawesi Selatan,8685.62,6811.54
74,Sulawesi Tenggara,6979.82,4358.99
75,Gorontalo,1551.21,1054.57
76,Sulawesi Barat,1732.66,1420.64
81,Maluku,3248.28,2428.86
82,Maluku Utara,3984.21,2559.09
91,Papua Barat,6147.53,5680.09
94,Papua,9650.11,6401.15
