Kd_Prov,Provinsi,Anggaran Belanja Modal,Realisasi Belanja Modal
11,Aceh,8145.39,6687.77
12,Sumatera Utara,8037.23,7371.71
13,Sumatera Barat,4179.28,3237.2
14,Riau,4266.47,4331.27
15,Jambi,3077.8,3186.3
16,Sumatera Selatan,8931.22,9039.18
17,Bengkulu,1808.04,1578.39
18,Lampung,3954.79,3812.11
19,Kepulauan Bangka Belitung,1669.52,1370.34
21,Kepulauan Riau,2083.1,1783.65
31,DKI Jakarta,9931.32,6865.83
32,Jawa Barat,15525.09,15530.13
33,Jawa Tengah,14341.37,12886.46
34,D.I. Yogyakarta,2235.3,2037.65
35,Jawa Timur,18575.73,14922.09
36,Banten,9500.92,5311.57
51,Bali,4552.42,2576.89
52,Nusa Tenggara Barat,3245.41,2797.22
53,Nusa Tenggara Timur,5767.83,4044.27
61,Kalimantan Barat,5297.43,4670.5
62,Kalimantan Tengah,4561.88,3810.78
63,Kalimantan Selatan,4171.29,4400.78
64,Kalimantan Timur,6380.51,7428.35
65,Kalimantan Utara,1435.82,1240.56
71,Sulawesi Utara,2702.72,2760.88
72,Sulawesi Tengah,3158.15,2866.09
73,Sulawesi Selatan,10272.64,6618.84
74,Sulawesi Tenggara,6666.3,5182.78
75,Gorontalo,1739.61,1200.41
76,Sulawesi Barat,1426.9,1339.13
81,Maluku,3817.07,2825.19
82,Maluku Utara,3864.93,2868.31
91,Papua Barat,5108.12,5218.39
94,Papua,7804.89,7063.85
