Kd_Prov,Provinsi,Kondisi_Baik,Baik_%,Kondisi_Sedang,Sedang_%,Kondisi_RR,RR_%,Kondisi_RB,RB_%,Total_Panjang
11,Aceh,1000.11,47.58,1029.73,48.99,55.24,2.63,16.98,0.81,2102.07
12,Sumatera Utara,1386.98,52.69,1145.65,43.52,83.44,3.17,16.17,0.61,2632.22
13,Sumatera Barat,541.51,37.38,766.98,52.94,103.3,7.13,37.02,2.56,1448.81
14,Riau,284.12,21.26,848.19,63.46,129.34,9.68,74.97,5.61,1336.61
15,Jambi,548.71,41.63,676.6,51.34,47.91,3.64,44.7,3.39,1317.93
16,Sumatera Selatan,540.77,33.79,872.72,54.54,164.01,10.25,22.66,1.42,1600.16
17,Bengkulu,356.41,44.97,410.1,51.74,24.8,3.13,1.3,0.16,792.61
18,Lampung,512.27,39.64,721.78,55.86,22.51,1.74,35.65,2.76,1292.21
19,Kepulauan Bangka Belitung,437.25,72.83,159.35,26.54,3.8,0.63,0,0,600.4
21,Kepulauan Riau,344.07,58.63,228.02,38.86,7.56,1.29,7.17,1.22,586.83
31,DKI Jakarta,,,,,,,,,
32,Jawa Barat,571.4,31.94,1122.95,62.76,91,5.09,3.85,0.21,1789.2
33,Jawa Tengah,689.93,45.45,796.48,52.47,30.19,1.99,1.49,0.1,1518.09
34,D.I. Yogyakarta,166.5,67.16,80.7,32.55,0.71,0.29,0,0,247.91
35,Jawa Timur,1182.1,50.06,1032.06,43.71,126.72,5.37,20.35,0.86,2361.23
36,Banten,148.98,26.37,373.27,66.08,42.03,7.44,0.61,0.11,564.89
51,Bali,190.69,30.3,427.86,67.98,10.84,1.72,0,0,629.39
52,Nusa Tenggara Barat,329.49,35.26,593.09,63.46,11.68,1.25,0.3,0.03,934.55
53,Nusa Tenggara Timur,636.12,34.24,1121.82,60.38,76.55,4.12,23.43,1.26,1857.91
61,Kalimantan Barat,913.9,43.16,1002.81,47.36,132.25,6.25,68.61,3.24,2117.57
62,Kalimantan Tengah,611.26,30.53,1035.01,51.7,109.22,5.46,246.59,12.32,2002.08
63,Kalimantan Selatan,509.9,42.34,637.5,52.94,35.95,2.98,20.95,1.74,1204.3
64,Kalimantan Timur,127.4,7.45,1175.03,68.68,268.76,15.71,139.71,8.17,1710.9
65,Kalimantan Utara,70.51,12.05,426.61,72.9,69.91,11.95,18.14,3.1,585.16
71,Sulawesi Utara,672.36,40.41,921.55,55.38,67.59,4.06,2.41,0.14,1663.92
72,Sulawesi Tengah,960.43,40.47,1360.02,57.3,36.24,1.53,16.72,0.7,2373.4
73,Sulawesi Selatan,706.26,40.45,949.51,54.38,55.8,3.2,34.34,1.97,1745.92
74,Sulawesi Tenggara,595.69,39.77,770.73,51.46,112.34,7.5,19.05,1.27,1497.81
75,Gorontalo,374.03,49.96,358.75,47.92,15.61,2.08,0.22,0.03,748.6
76,Sulawesi Barat,146.29,19.17,541.5,70.95,71.93,9.43,3.45,0.45,763.17
81,Maluku,944.51,53.31,662.71,37.41,72.9,4.11,91.55,5.17,1771.67
82,Maluku Utara,801.09,66.57,322.98,26.84,27.37,2.27,51.9,4.31,1203.34
91,Papua Barat,420.9,31.73,498.67,37.6,154.39,11.64,252.42,,1326.38
94,Papua,1281.7,48.61,788.9,29.92,445.48,16.9,120.65,4.58,2636.73
xxx,Indonesia,19003.64,40.46,23859.63,50.8,2707.37,5.76,1393.36,2.97,46963.97
